bid,mid,returns,position
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1961,182.1961,nan,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
182.1308,182.1308,-0.0003584692796456457,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.9166,181.9166,-0.0011767699740114635,nan
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.8344,181.8344,-0.00045195752808494026,-1.0
181.5905,181.5905,-0.0013422307421268307,-1.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.6032,181.6032,0.0,0.0
181.9291,181.9291,0.0017929635815382456,1.0
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.8198,181.8198,nan,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7359,181.7359,-0.0004615523920513037,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.7289,181.7289,-3.851817287860831e-05,nan
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
181.899,181.899,0.0009355718436747141,1.0
